config_id,seed,run_id,pop_size,generations,selection_method,tournament_k,crossover_method,crossover_rate,mutation_method,mutation_rate,sigma,elite_size
0,42,rs000_pop50_seltournament_cxgene_uniform_mutvertex_jitter_rate0.2_sigma20.0_seed42,50,200,tournament,5,gene_uniform,0.9,vertex_jitter,0.2,20.0,1
1,42,rs001_pop100_selroulette_cxsingle_point_mutadaptive_rate0.1_sigma5.0_seed42,100,200,roulette,3,single_point,0.8,adaptive,0.1,5.0,0
2,42,rs002_pop100_selroulette_cxgene_single_point_mutvertex_jitter_rate0.3_sigma10.0_seed42,100,200,roulette,2,gene_single_point,0.9,vertex_jitter,0.3,10.0,5
3,42,rs003_pop50_seltournament_cxsingle_point_mutgaussian_rate0.3_sigma50.0_seed42,50,200,tournament,2,single_point,0.9,gaussian,0.3,50.0,3
4,42,rs004_pop30_selrank_cxuniform_mutadaptive_rate0.05_sigma50.0_seed42,30,200,rank,2,uniform,0.7,adaptive,0.05,50.0,0
5,42,rs005_pop30_selrank_cxsingle_point_mutvertex_jitter_rate0.01_sigma20.0_seed42,30,200,rank,10,single_point,0.8,vertex_jitter,0.01,20.0,1
6,42,rs006_pop100_selroulette_cxgene_uniform_mutadaptive_rate0.1_sigma10.0_seed42,100,200,roulette,2,gene_uniform,0.8,adaptive,0.1,10.0,1
7,42,rs007_pop30_selrank_cxgene_uniform_mutgaussian_rate0.05_sigma10.0_seed42,30,200,rank,5,gene_uniform,0.6,gaussian,0.05,10.0,0
8,42,rs008_pop30_selrank_cxuniform_mutcolor_perturbation_rate0.3_sigma20.0_seed42,30,200,rank,5,uniform,0.7,color_perturbation,0.3,20.0,5
9,42,rs009_pop50_seltournament_cxsingle_point_mutvertex_jitter_rate0.05_sigma10.0_seed42,50,200,tournament,5,single_point,0.9,vertex_jitter,0.05,10.0,0
10,42,rs010_pop100_seltournament_cxgene_single_point_mutvertex_jitter_rate0.2_sigma5.0_seed42,100,200,tournament,3,gene_single_point,0.7,vertex_jitter,0.2,5.0,0
11,42,rs011_pop30_seltournament_cxsingle_point_mutadaptive_rate0.3_sigma5.0_seed42,30,200,tournament,2,single_point,0.6,adaptive,0.3,5.0,5
12,42,rs012_pop30_seltournament_cxsingle_point_mutadaptive_rate0.01_sigma50.0_seed42,30,200,tournament,2,single_point,0.7,adaptive,0.01,50.0,1
13,42,rs013_pop100_selrank_cxgene_uniform_mutvertex_jitter_rate0.01_sigma10.0_seed42,100,200,rank,2,gene_uniform,0.6,vertex_jitter,0.01,10.0,0
14,42,rs014_pop100_selroulette_cxuniform_mutcolor_perturbation_rate0.01_sigma5.0_seed42,100,200,roulette,10,uniform,0.6,color_perturbation,0.01,5.0,5
15,42,rs015_pop30_selroulette_cxuniform_mutgaussian_rate0.05_sigma10.0_seed42,30,200,roulette,10,uniform,0.7,gaussian,0.05,10.0,3
16,42,rs016_pop100_seltournament_cxuniform_mutcolor_perturbation_rate0.2_sigma20.0_seed42,100,200,tournament,10,uniform,0.6,color_perturbation,0.2,20.0,3
17,42,rs017_pop50_seltournament_cxgene_uniform_mutvertex_jitter_rate0.01_sigma20.0_seed42,50,200,tournament,2,gene_uniform,0.6,vertex_jitter,0.01,20.0,1
18,42,rs018_pop30_selroulette_cxgene_single_point_mutvertex_jitter_rate0.2_sigma50.0_seed42,30,200,roulette,5,gene_single_point,0.7,vertex_jitter,0.2,50.0,0
19,42,rs019_pop30_selrank_cxuniform_mutadaptive_rate0.2_sigma50.0_seed42,30,200,rank,5,uniform,0.7,adaptive,0.2,50.0,5
20,42,rs020_pop30_selrank_cxsingle_point_mutcolor_perturbation_rate0.01_sigma20.0_seed42,30,200,rank,10,single_point,0.7,color_perturbation,0.01,20.0,1
21,42,rs021_pop50_selrank_cxsingle_point_mutvertex_jitter_rate0.1_sigma50.0_seed42,50,200,rank,2,single_point,0.9,vertex_jitter,0.1,50.0,0
22,42,rs022_pop50_selrank_cxuniform_mutcolor_perturbation_rate0.2_sigma20.0_seed42,50,200,rank,2,uniform,0.6,color_perturbation,0.2,20.0,0
23,42,rs023_pop30_selrank_cxsingle_point_mutgaussian_rate0.3_sigma10.0_seed42,30,200,rank,2,single_point,0.7,gaussian,0.3,10.0,3
24,42,rs024_pop50_seltournament_cxgene_uniform_mutgaussian_rate0.1_sigma50.0_seed42,50,200,tournament,10,gene_uniform,0.6,gaussian,0.1,50.0,0
25,42,rs025_pop50_selrank_cxsingle_point_mutvertex_jitter_rate0.01_sigma5.0_seed42,50,200,rank,5,single_point,0.7,vertex_jitter,0.01,5.0,0
26,42,rs026_pop30_selrank_cxgene_single_point_mutcolor_perturbation_rate0.2_sigma50.0_seed42,30,200,rank,5,gene_single_point,0.6,color_perturbation,0.2,50.0,3
27,42,rs027_pop100_seltournament_cxgene_single_point_mutadaptive_rate0.05_sigma20.0_seed42,100,200,tournament,10,gene_single_point,0.6,adaptive,0.05,20.0,3
28,42,rs028_pop50_selrank_cxgene_single_point_mutgaussian_rate0.1_sigma10.0_seed42,50,200,rank,2,gene_single_point,0.6,gaussian,0.1,10.0,1
29,42,rs029_pop100_selroulette_cxuniform_mutgaussian_rate0.2_sigma10.0_seed42,100,200,roulette,10,uniform,0.8,gaussian,0.2,10.0,0
30,42,rs030_pop50_selrank_cxgene_single_point_mutvertex_jitter_rate0.1_sigma50.0_seed42,50,200,rank,2,gene_single_point,0.9,vertex_jitter,0.1,50.0,0
31,42,rs031_pop30_selroulette_cxgene_single_point_mutcolor_perturbation_rate0.01_sigma50.0_seed42,30,200,roulette,5,gene_single_point,0.6,color_perturbation,0.01,50.0,5
32,42,rs032_pop30_selroulette_cxuniform_mutgaussian_rate0.01_sigma5.0_seed42,30,200,roulette,3,uniform,0.9,gaussian,0.01,5.0,1
33,42,rs033_pop100_seltournament_cxsingle_point_mutcolor_perturbation_rate0.3_sigma20.0_seed42,100,200,tournament,10,single_point,0.6,color_perturbation,0.3,20.0,5
34,42,rs034_pop50_selroulette_cxgene_single_point_mutvertex_jitter_rate0.3_sigma10.0_seed42,50,200,roulette,2,gene_single_point,0.7,vertex_jitter,0.3,10.0,5
35,42,rs035_pop30_seltournament_cxsingle_point_mutadaptive_rate0.01_sigma50.0_seed42,30,200,tournament,2,single_point,0.9,adaptive,0.01,50.0,5
36,42,rs036_pop50_selrank_cxuniform_mutgaussian_rate0.05_sigma50.0_seed42,50,200,rank,2,uniform,0.7,gaussian,0.05,50.0,5
37,42,rs037_pop50_seltournament_cxuniform_mutcolor_perturbation_rate0.3_sigma50.0_seed42,50,200,tournament,10,uniform,0.9,color_perturbation,0.3,50.0,3
38,42,rs038_pop50_selrank_cxuniform_mutvertex_jitter_rate0.1_sigma20.0_seed42,50,200,rank,3,uniform,0.6,vertex_jitter,0.1,20.0,0
39,42,rs039_pop100_selroulette_cxgene_uniform_mutcolor_perturbation_rate0.01_sigma5.0_seed42,100,200,roulette,3,gene_uniform,0.8,color_perturbation,0.01,5.0,0
40,42,rs040_pop30_seltournament_cxgene_single_point_mutcolor_perturbation_rate0.1_sigma10.0_seed42,30,200,tournament,2,gene_single_point,0.6,color_perturbation,0.1,10.0,1
41,42,rs041_pop100_selroulette_cxsingle_point_mutgaussian_rate0.2_sigma10.0_seed42,100,200,roulette,10,single_point,0.6,gaussian,0.2,10.0,3
42,42,rs042_pop100_selroulette_cxuniform_mutgaussian_rate0.05_sigma20.0_seed42,100,200,roulette,10,uniform,0.6,gaussian,0.05,20.0,3
43,42,rs043_pop50_selroulette_cxgene_single_point_mutcolor_perturbation_rate0.2_sigma5.0_seed42,50,200,roulette,5,gene_single_point,0.9,color_perturbation,0.2,5.0,1
44,42,rs044_pop100_seltournament_cxgene_single_point_mutgaussian_rate0.2_sigma50.0_seed42,100,200,tournament,5,gene_single_point,0.6,gaussian,0.2,50.0,1
45,42,rs045_pop50_selrank_cxgene_single_point_mutgaussian_rate0.3_sigma50.0_seed42,50,200,rank,3,gene_single_point,0.9,gaussian,0.3,50.0,5
46,42,rs046_pop50_seltournament_cxuniform_mutgaussian_rate0.3_sigma10.0_seed42,50,200,tournament,10,uniform,0.6,gaussian,0.3,10.0,3
47,42,rs047_pop30_seltournament_cxgene_uniform_mutgaussian_rate0.3_sigma50.0_seed42,30,200,tournament,10,gene_uniform,0.6,gaussian,0.3,50.0,3
48,42,rs048_pop100_selrank_cxuniform_mutvertex_jitter_rate0.01_sigma10.0_seed42,100,200,rank,5,uniform,0.9,vertex_jitter,0.01,10.0,0
49,42,rs049_pop50_selroulette_cxgene_uniform_mutgaussian_rate0.01_sigma5.0_seed42,50,200,roulette,3,gene_uniform,0.8,gaussian,0.01,5.0,5
50,42,rs050_pop50_selrank_cxuniform_mutcolor_perturbation_rate0.3_sigma20.0_seed42,50,200,rank,3,uniform,0.6,color_perturbation,0.3,20.0,0
51,42,rs051_pop30_selrank_cxsingle_point_mutcolor_perturbation_rate0.01_sigma5.0_seed42,30,200,rank,10,single_point,0.6,color_perturbation,0.01,5.0,5
52,42,rs052_pop30_selroulette_cxgene_uniform_mutcolor_perturbation_rate0.1_sigma20.0_seed42,30,200,roulette,10,gene_uniform,0.6,color_perturbation,0.1,20.0,0
53,42,rs053_pop50_seltournament_cxsingle_point_mutvertex_jitter_rate0.05_sigma5.0_seed42,50,200,tournament,5,single_point,0.8,vertex_jitter,0.05,5.0,1
54,42,rs054_pop50_selrank_cxuniform_mutadaptive_rate0.01_sigma5.0_seed42,50,200,rank,3,uniform,0.6,adaptive,0.01,5.0,3
55,42,rs055_pop50_selrank_cxuniform_mutcolor_perturbation_rate0.01_sigma50.0_seed42,50,200,rank,3,uniform,0.7,color_perturbation,0.01,50.0,3
56,42,rs056_pop100_seltournament_cxuniform_mutvertex_jitter_rate0.2_sigma20.0_seed42,100,200,tournament,2,uniform,0.8,vertex_jitter,0.2,20.0,3
57,42,rs057_pop100_seltournament_cxsingle_point_mutadaptive_rate0.2_sigma10.0_seed42,100,200,tournament,2,single_point,0.8,adaptive,0.2,10.0,1
58,42,rs058_pop30_selrank_cxuniform_mutvertex_jitter_rate0.1_sigma50.0_seed42,30,200,rank,3,uniform,0.7,vertex_jitter,0.1,50.0,0
59,42,rs059_pop30_selroulette_cxsingle_point_mutcolor_perturbation_rate0.1_sigma50.0_seed42,30,200,roulette,2,single_point,0.7,color_perturbation,0.1,50.0,1
60,42,rs060_pop100_selroulette_cxsingle_point_mutcolor_perturbation_rate0.1_sigma5.0_seed42,100,200,roulette,5,single_point,0.7,color_perturbation,0.1,5.0,5
61,42,rs061_pop50_selroulette_cxgene_uniform_mutvertex_jitter_rate0.1_sigma50.0_seed42,50,200,roulette,5,gene_uniform,0.7,vertex_jitter,0.1,50.0,0
62,42,rs062_pop30_selroulette_cxuniform_mutcolor_perturbation_rate0.05_sigma50.0_seed42,30,200,roulette,2,uniform,0.9,color_perturbation,0.05,50.0,5
63,42,rs063_pop30_selroulette_cxuniform_mutcolor_perturbation_rate0.01_sigma50.0_seed42,30,200,roulette,5,uniform,0.8,color_perturbation,0.01,50.0,1
64,42,rs064_pop50_selrank_cxgene_uniform_mutadaptive_rate0.1_sigma5.0_seed42,50,200,rank,10,gene_uniform,0.6,adaptive,0.1,5.0,3
65,42,rs065_pop100_selroulette_cxsingle_point_mutadaptive_rate0.3_sigma50.0_seed42,100,200,roulette,10,single_point,0.9,adaptive,0.3,50.0,3
66,42,rs066_pop100_seltournament_cxsingle_point_mutvertex_jitter_rate0.2_sigma50.0_seed42,100,200,tournament,5,single_point,0.6,vertex_jitter,0.2,50.0,5
67,42,rs067_pop30_selroulette_cxuniform_mutgaussian_rate0.01_sigma20.0_seed42,30,200,roulette,5,uniform,0.6,gaussian,0.01,20.0,3
68,42,rs068_pop100_seltournament_cxuniform_mutcolor_perturbation_rate0.1_sigma20.0_seed42,100,200,tournament,3,uniform,0.6,color_perturbation,0.1,20.0,1
69,42,rs069_pop100_selrank_cxgene_uniform_mutvertex_jitter_rate0.1_sigma50.0_seed42,100,200,rank,2,gene_uniform,0.9,vertex_jitter,0.1,50.0,3
