generation,best_fitness,avg_fitness,worst_fitness
1,57.23624038696289,63.568904876708984,80.47367095947266
2,53.21642303466797,62.19634246826172,70.8702392578125
3,53.21642303466797,60.64228439331055,65.4361801147461
4,53.21642303466797,59.686275482177734,67.84757232666016
5,53.211334228515625,58.53451919555664,65.00061798095703
6,53.082054138183594,57.316497802734375,64.77009582519531
7,50.801414489746094,56.40384292602539,62.95344924926758
8,50.763084411621094,55.67110061645508,63.743019104003906
9,49.93672180175781,54.81769561767578,60.926063537597656
10,49.932918548583984,54.0161018371582,58.896697998046875
11,48.69538116455078,53.26210021972656,60.804161071777344
12,48.69538116455078,52.68138885498047,56.63205337524414
13,47.86459732055664,51.720760345458984,56.965694427490234
14,47.232666015625,51.068504333496094,55.923404693603516
15,47.126853942871094,50.38566589355469,56.64229965209961
16,47.126853942871094,50.14603042602539,54.32454299926758
17,46.368202209472656,49.46253967285156,53.37336349487305
18,46.047489166259766,48.998226165771484,52.774864196777344
19,45.719974517822266,48.50199890136719,51.589595794677734
20,45.484100341796875,48.248687744140625,53.38481140136719
