experiment,seed,run_id
selection_tournament,42,selection_tournament_seed42
selection_tournament,123,selection_tournament_seed123
selection_tournament,456,selection_tournament_seed456
selection_roulette,42,selection_roulette_seed42
selection_roulette,123,selection_roulette_seed123
selection_roulette,456,selection_roulette_seed456
selection_rank,42,selection_rank_seed42
selection_rank,123,selection_rank_seed123
selection_rank,456,selection_rank_seed456
crossover_single_point,42,crossover_single_point_seed42
crossover_single_point,123,crossover_single_point_seed123
crossover_single_point,456,crossover_single_point_seed456
crossover_uniform,42,crossover_uniform_seed42
crossover_uniform,123,crossover_uniform_seed123
crossover_uniform,456,crossover_uniform_seed456
crossover_gene_single,42,crossover_gene_single_seed42
crossover_gene_single,123,crossover_gene_single_seed123
crossover_gene_single,456,crossover_gene_single_seed456
crossover_gene_uniform,42,crossover_gene_uniform_seed42
crossover_gene_uniform,123,crossover_gene_uniform_seed123
crossover_gene_uniform,456,crossover_gene_uniform_seed456
mutation_gaussian,42,mutation_gaussian_seed42
mutation_gaussian,123,mutation_gaussian_seed123
mutation_gaussian,456,mutation_gaussian_seed456
mutation_adaptive,42,mutation_adaptive_seed42
mutation_adaptive,123,mutation_adaptive_seed123
mutation_adaptive,456,mutation_adaptive_seed456
mutation_vertex_jitter,42,mutation_vertex_jitter_seed42
mutation_vertex_jitter,123,mutation_vertex_jitter_seed123
mutation_vertex_jitter,456,mutation_vertex_jitter_seed456
mutation_color_perturbation,42,mutation_color_perturbation_seed42
mutation_color_perturbation,123,mutation_color_perturbation_seed123
mutation_color_perturbation,456,mutation_color_perturbation_seed456
mutation_rate_001,42,mutation_rate_001_seed42
mutation_rate_001,123,mutation_rate_001_seed123
mutation_rate_001,456,mutation_rate_001_seed456
mutation_rate_005,42,mutation_rate_005_seed42
mutation_rate_005,123,mutation_rate_005_seed123
mutation_rate_005,456,mutation_rate_005_seed456
mutation_rate_010,42,mutation_rate_010_seed42
mutation_rate_010,123,mutation_rate_010_seed123
mutation_rate_010,456,mutation_rate_010_seed456
mutation_rate_030,42,mutation_rate_030_seed42
mutation_rate_030,123,mutation_rate_030_seed123
mutation_rate_030,456,mutation_rate_030_seed456
sigma_5,42,sigma_5_seed42
sigma_5,123,sigma_5_seed123
sigma_5,456,sigma_5_seed456
sigma_10,42,sigma_10_seed42
sigma_10,123,sigma_10_seed123
sigma_10,456,sigma_10_seed456
sigma_20,42,sigma_20_seed42
sigma_20,123,sigma_20_seed123
sigma_20,456,sigma_20_seed456
sigma_50,42,sigma_50_seed42
sigma_50,123,sigma_50_seed123
sigma_50,456,sigma_50_seed456
pop_30,42,pop_30_seed42
pop_30,123,pop_30_seed123
pop_30,456,pop_30_seed456
pop_50,42,pop_50_seed42
pop_50,123,pop_50_seed123
pop_50,456,pop_50_seed456
pop_100,42,pop_100_seed42
pop_100,123,pop_100_seed123
pop_100,456,pop_100_seed456
tournament_k2,42,tournament_k2_seed42
tournament_k2,123,tournament_k2_seed123
tournament_k2,456,tournament_k2_seed456
tournament_k5,42,tournament_k5_seed42
tournament_k5,123,tournament_k5_seed123
tournament_k5,456,tournament_k5_seed456
tournament_k10,42,tournament_k10_seed42
tournament_k10,123,tournament_k10_seed123
tournament_k10,456,tournament_k10_seed456
elite_0,42,elite_0_seed42
elite_0,123,elite_0_seed123
elite_0,456,elite_0_seed456
elite_1,42,elite_1_seed42
elite_1,123,elite_1_seed123
elite_1,456,elite_1_seed456
elite_5,42,elite_5_seed42
elite_5,123,elite_5_seed123
elite_5,456,elite_5_seed456
